wonder;type;lat;long
Alhambra;m;37.1761;-3.5881
Big Ben;m;51.5007;0.1246
Bolshoi Theatre;m;55.760082;37.618668
Broadway Theatre;m;40.7634;-73.9831
Chichen Itza;m;20.6843;-88.5678
Colosseum;m;41.8902;12.4922
Colossus of Rhodes;m;36.4511;28.2258
Cristo Redentor;m;-22.9519;-43.2105
Eiffel Tower;m;48.858093;2.294694
Estadio Do Maracana;m;-22.9121;-43.2302
Forbidden City;m;39.9163;116.3972
Great Library of Alexandria;m;31.2089;29.9092
Lighthouse of Alexandria;m;31.21389;29.88556
Great Zimbabwe;m;20.2713;30.9331
Hagia Sophia;m;41.0086;28.9802
Hanging Gardens of Babylon;m;32.542237;44.421036
Hermitage Meuseum;m;59.941000;30.312900
Huey Teocalli (Great Pyramid of Cholula);m;19.0594;-98.3018
Mahabodhi Temple;m;24.6959;84.9914
Mont Saint-Michel;m;48.6361;-1.5115
Oracle (Delphi);m;38.482300;22.501300
Oxford University;m;51.7548;-1.2544
Petra;m;30.3285;35.4444
Potala Palace;m;29.6555;91.1186
Pyramid (Giza);m;29.9773;31.1325
Ruhr Valley;m;51.4900;7.0417
Stonehenge;m;51.1789;-1.8262
Sydney Opera House;m;-33.8568;151.2153
Terracotta Army;m;34.3841;109.2785
Venetian Arsenal;m;45.4349;12.3499
Cliffs of Dover;n;51.1345;1.3573
Crater Lake;n;42.8684;-122.1685
Dead Sea;n;31.5590;35.4732
Eyjafjallajokull;n;63.6314;-19.6083
Galapagos Islands;n;-0.777259;-91.142578
Giants Causeway;n;55.2408;-6.5116
Great Barrier Reef;n;-18.2871;147.6992
Mount Kilimanjaro;n;-3.0674;37.3556
Lysefjord;n;59.0049;6.3168
Mount Everest;n;27.9878;86.9250
Pantanal;n;-16.35;-56.666668
Piopiotahi;n;-44.6414;167.8974
Torres del Paine;n;-50.9423;-73.4068
Tsingy de Bemaraha;n;-18.8977;44.8298
Yosemite Valley;n;37.7456;-119.5936